Professor_Code,professor_name,Years_of_Experience,Field_of_Expertise,Past_Mentee_Performance,Behavior_Rating,Feedback_Rating,Contact_Email
P036,Jans  Wager,9,Web Development,6.6,7.62,5.48,jans..wager@univ.edu
P037,Jans  Wager,14,Web Development,8.9,7.68,8.33,jans..wager@univ.edu
P038,Jans  Wager,10,Mobile Development,5.69,7.12,7.95,jans..wager@univ.edu
P039,Jans  Wager,17,Data Science,8.15,8.55,5.44,jans..wager@univ.edu
P040,Jans  Wager,5,Web Development,8.63,4.79,8.09,jans..wager@univ.edu
P041,Robert  Warden,16,AI/ML,8.53,8.11,8.5,robert..warden@univ.edu
P042,Robert  Warden,19,Data Science,7.48,10.0,7.49,robert..warden@univ.edu
P043,Robert  Warden,6,Mobile Development,8.2,9.02,7.66,robert..warden@univ.edu
P044,Robert  Warden,20,Cybersecurity,7.56,6.57,6.73,robert..warden@univ.edu
P045,Robert  Warden,10,Mobile Development,5.76,6.61,8.6,robert..warden@univ.edu
P046,Robert  Warden,6,Mobile Development,7.5,7.22,7.08,robert..warden@univ.edu
P047,Robert  Warden,4,Data Science,5.69,7.03,6.7,robert..warden@univ.edu
P048,Robert  Warden,8,Data Science,5.53,9.03,6.16,robert..warden@univ.edu
P049,Bryan  Eldredge,12,AI/ML,7.34,6.83,7.44,bryan..eldredge@univ.edu
P050,Bryan  Eldredge,6,AI/ML,6.29,8.99,7.08,bryan..eldredge@univ.edu
P051,Bryan  Eldredge,20,Data Science,8.91,7.78,6.09,bryan..eldredge@univ.edu
P052,Bryan  Eldredge,14,Data Science,9.02,8.48,8.12,bryan..eldredge@univ.edu
P053,Bryan  Eldredge,4,Data Science,10.0,8.99,9.1,bryan..eldredge@univ.edu
P054,Bryan  Eldredge,12,Cybersecurity,5.36,8.72,8.39,bryan..eldredge@univ.edu
P055,Bryan  Eldredge,6,Mobile Development,5.64,10.0,8.23,bryan..eldredge@univ.edu
P056,Bryan  Eldredge,16,AI/ML,8.04,10.0,6.63,bryan..eldredge@univ.edu
P057,Bryan  Eldredge,18,AI/ML,6.62,6.83,7.03,bryan..eldredge@univ.edu
P058,Bryan  Eldredge,17,Web Development,6.13,10.0,6.48,bryan..eldredge@univ.edu
P059,Bryan  Eldredge,10,Cybersecurity,6.54,8.27,8.19,bryan..eldredge@univ.edu
P060,Bryan  Eldredge,16,Data Science,6.91,8.62,6.72,bryan..eldredge@univ.edu
P061,Bryan  Eldredge,10,Data Science,7.79,9.43,8.92,bryan..eldredge@univ.edu
P062,Bryan  Eldredge,18,Cybersecurity,4.82,6.56,6.76,bryan..eldredge@univ.edu
P063,Bryan  Eldredge,15,AI/ML,7.49,10.0,8.01,bryan..eldredge@univ.edu
P064,Bryan  Eldredge,20,Data Science,6.77,8.51,10.0,bryan..eldredge@univ.edu
P065,Bryan  Eldredge,17,Web Development,6.05,10.0,10.0,bryan..eldredge@univ.edu
P066,Bryan  Eldredge,15,AI/ML,8.67,7.96,6.8,bryan..eldredge@univ.edu
P067,William  Hollinrake,11,Mobile Development,6.48,6.78,9.36,william..hollinrake@univ.edu
P068,William  Hollinrake,17,Cybersecurity,6.59,9.06,7.45,william..hollinrake@univ.edu
P069,William  Hollinrake,15,AI/ML,6.66,6.7,7.28,william..hollinrake@univ.edu
P070,William  Hollinrake,3,Mobile Development,8.87,7.49,7.75,william..hollinrake@univ.edu
P071,William  Hollinrake,9,Web Development,7.13,4.3,7.6,william..hollinrake@univ.edu
P072,William  Hollinrake,11,Cybersecurity,6.92,10.0,5.61,william..hollinrake@univ.edu
P073,William  Hollinrake,3,Data Science,8.06,7.42,7.04,william..hollinrake@univ.edu
P074,William  Hollinrake,14,Data Science,4.32,7.72,6.63,william..hollinrake@univ.edu
P075,William  Hollinrake,10,Mobile Development,7.24,8.25,7.43,william..hollinrake@univ.edu
P076,William  Hollinrake,13,AI/ML,7.26,9.0,6.5,william..hollinrake@univ.edu
P077,William  Hollinrake,19,Web Development,7.99,6.27,7.18,william..hollinrake@univ.edu
P078,William  Hollinrake,10,Mobile Development,7.35,6.02,7.5,william..hollinrake@univ.edu
P079,William  Hollinrake,5,Web Development,5.64,9.84,7.52,william..hollinrake@univ.edu
P080,William  Hollinrake,5,Web Development,5.01,7.38,7.94,william..hollinrake@univ.edu
P081,William  Hollinrake,3,Web Development,7.77,8.68,8.49,william..hollinrake@univ.edu
P082,William  Hollinrake,7,Cybersecurity,6.41,7.45,5.62,william..hollinrake@univ.edu
P083,William  Hollinrake,12,Mobile Development,6.61,9.15,6.8,william..hollinrake@univ.edu
P084,William  Hollinrake,9,Cybersecurity,5.97,7.42,7.12,william..hollinrake@univ.edu
P085,William  Hollinrake,11,AI/ML,7.02,8.47,8.3,william..hollinrake@univ.edu
P086,William  Hollinrake,9,AI/ML,6.91,8.94,6.92,william..hollinrake@univ.edu
P087,Lauren  Baumbach,11,Data Science,5.53,8.42,6.87,lauren..baumbach@univ.edu
P088,Lauren  Baumbach,10,Data Science,7.92,8.68,5.71,lauren..baumbach@univ.edu
P089,Lauren  Baumbach,14,Data Science,6.14,7.96,8.79,lauren..baumbach@univ.edu
P090,Lauren  Baumbach,4,AI/ML,8.71,5.93,7.67,lauren..baumbach@univ.edu
P091,Lauren  Baumbach,3,Web Development,7.25,5.67,6.69,lauren..baumbach@univ.edu
P092,Lauren  Baumbach,18,Web Development,6.9,6.21,9.22,lauren..baumbach@univ.edu
P093,Lauren  Baumbach,7,Mobile Development,5.19,6.95,8.57,lauren..baumbach@univ.edu
P094,Lauren  Baumbach,5,AI/ML,7.65,9.43,8.66,lauren..baumbach@univ.edu
P095,Lauren  Baumbach,14,Data Science,6.95,4.94,5.73,lauren..baumbach@univ.edu
P096,Lauren  Baumbach,10,AI/ML,7.21,8.7,8.0,lauren..baumbach@univ.edu
P097,Lauren  Baumbach,5,Web Development,8.58,7.04,6.35,lauren..baumbach@univ.edu
P098,Lauren  Baumbach,3,Web Development,8.04,8.73,7.53,lauren..baumbach@univ.edu
P099,Lauren  Baumbach,5,Cybersecurity,8.34,10.0,5.82,lauren..baumbach@univ.edu
P100,Beverly  Faunce,7,Cybersecurity,4.11,8.29,7.44,beverly..faunce@univ.edu
P101,Beverly  Faunce,17,Mobile Development,6.75,9.36,7.33,beverly..faunce@univ.edu
P102,Beverly  Faunce,16,AI/ML,5.09,6.99,8.3,beverly..faunce@univ.edu
P103,Beverly  Faunce,5,Cybersecurity,7.57,7.11,6.98,beverly..faunce@univ.edu
P104,Beverly  Faunce,3,Cybersecurity,4.74,9.72,7.3,beverly..faunce@univ.edu
P105,Beverly  Faunce,7,AI/ML,8.26,10.0,6.76,beverly..faunce@univ.edu
P106,Beverly  Faunce,16,Web Development,8.88,9.22,7.43,beverly..faunce@univ.edu
P107,Deborah  Pluss,9,Mobile Development,6.78,5.29,7.34,deborah..pluss@univ.edu
P108,Deborah  Pluss,11,Mobile Development,7.41,6.39,9.01,deborah..pluss@univ.edu
P109,Deborah  Pluss,17,Mobile Development,8.86,7.45,6.83,deborah..pluss@univ.edu
P110,Deborah  Pluss,17,Cybersecurity,9.51,8.65,8.94,deborah..pluss@univ.edu
P111,Deborah  Pluss,12,Web Development,9.02,7.1,6.9,deborah..pluss@univ.edu
P112,Deborah  Pluss,15,Mobile Development,7.65,8.9,9.2,deborah..pluss@univ.edu
P113,Deborah  Pluss,9,AI/ML,8.94,6.4,8.95,deborah..pluss@univ.edu
P114,Deborah  Pluss,19,Mobile Development,5.84,9.51,8.67,deborah..pluss@univ.edu
P115,Deborah  Pluss,6,Data Science,6.18,8.26,6.79,deborah..pluss@univ.edu
P116,Deborah  Pluss,7,Web Development,8.12,9.04,7.66,deborah..pluss@univ.edu
P117,Deborah  Pluss,9,Data Science,7.03,5.22,9.01,deborah..pluss@univ.edu
P118,Deborah  Pluss,15,Web Development,7.81,8.45,6.77,deborah..pluss@univ.edu
P119,Deborah  Pluss,17,AI/ML,8.1,6.87,7.76,deborah..pluss@univ.edu
P120,Deborah  Pluss,13,Cybersecurity,8.12,8.02,8.2,deborah..pluss@univ.edu
P121,Deborah  Pluss,6,Cybersecurity,4.78,7.34,7.02,deborah..pluss@univ.edu
P122,Deborah  Pluss,15,Web Development,7.82,6.85,6.49,deborah..pluss@univ.edu
P123,Deborah  Pluss,9,Mobile Development,6.24,7.93,6.33,deborah..pluss@univ.edu
P124,Deborah  Pluss,4,Data Science,7.31,8.97,9.41,deborah..pluss@univ.edu
P125,Deborah  Pluss,12,AI/ML,6.47,10.0,9.04,deborah..pluss@univ.edu
P126,Deborah  Pluss,15,Mobile Development,6.49,7.24,8.71,deborah..pluss@univ.edu
P127,Lauren  Bold,8,Cybersecurity,6.26,9.6,9.08,lauren..bold@univ.edu
P128,Lauren  Bold,14,Mobile Development,7.91,9.89,8.15,lauren..bold@univ.edu
P129,Lauren  Bold,14,Data Science,6.8,6.52,7.03,lauren..bold@univ.edu
P130,Mary  Richardson,13,Cybersecurity,6.7,8.42,7.18,mary..richardson@univ.edu
P131,Mary  Richardson,9,Web Development,6.6,9.24,6.36,mary..richardson@univ.edu
P132,Mary  Richardson,3,AI/ML,7.7,7.66,8.45,mary..richardson@univ.edu
P133,Mary  Richardson,3,AI/ML,5.97,7.88,6.63,mary..richardson@univ.edu
P134,Mary  Richardson,15,Cybersecurity,8.91,8.8,7.45,mary..richardson@univ.edu
P135,Mary  Richardson,11,Web Development,6.21,8.0,7.72,mary..richardson@univ.edu
P136,Mary  Richardson,5,Data Science,6.47,7.86,7.58,mary..richardson@univ.edu
P137,Mary  Richardson,9,AI/ML,7.03,7.02,8.55,mary..richardson@univ.edu
P138,Mary  Richardson,8,Cybersecurity,7.57,7.14,9.27,mary..richardson@univ.edu
P139,Mary  Richardson,10,AI/ML,6.78,7.03,7.53,mary..richardson@univ.edu
P140,Mary  Richardson,11,Web Development,6.72,7.44,8.49,mary..richardson@univ.edu
P141,Mary  Richardson,7,Data Science,8.3,7.89,7.65,mary..richardson@univ.edu
P142,Mary  Richardson,3,Web Development,4.27,7.11,7.59,mary..richardson@univ.edu
P143,Mary  Richardson,12,Mobile Development,6.31,6.67,7.96,mary..richardson@univ.edu
P144,Mary  Richardson,14,Web Development,6.01,6.7,10.0,mary..richardson@univ.edu
P145,Mary  Richardson,17,Web Development,6.51,7.97,9.24,mary..richardson@univ.edu
P146,Mary  Richardson,11,AI/ML,8.67,5.7,8.02,mary..richardson@univ.edu
P147,Tracey  Francese,19,Web Development,6.18,9.27,7.33,tracey..francese@univ.edu
P148,Tracey  Francese,19,Cybersecurity,6.89,9.89,7.05,tracey..francese@univ.edu
P149,Tracey  Francese,14,AI/ML,7.66,9.91,7.28,tracey..francese@univ.edu
P150,Tracey  Francese,9,AI/ML,6.06,7.49,8.43,tracey..francese@univ.edu
P151,Tracey  Francese,4,Mobile Development,4.26,7.2,7.52,tracey..francese@univ.edu
P152,Tracey  Francese,5,Cybersecurity,3.93,7.12,7.27,tracey..francese@univ.edu
P153,Tracey  Francese,19,Web Development,8.6,6.52,7.77,tracey..francese@univ.edu
P154,Tracey  Francese,7,Mobile Development,7.54,9.05,7.4,tracey..francese@univ.edu
P155,Tracey  Francese,19,Cybersecurity,6.61,5.11,7.26,tracey..francese@univ.edu
P156,Tracey  Francese,19,Mobile Development,6.59,7.21,9.08,tracey..francese@univ.edu
P157,Tracey  Francese,19,Data Science,5.98,7.13,6.93,tracey..francese@univ.edu
P158,Tracey  Francese,4,Web Development,7.19,7.33,6.02,tracey..francese@univ.edu
P159,Tracey  Francese,4,Mobile Development,7.87,7.13,7.72,tracey..francese@univ.edu
P160,Tracey  Francese,7,Data Science,5.93,8.22,6.72,tracey..francese@univ.edu
P161,Tracey  Francese,3,Web Development,7.31,8.92,7.27,tracey..francese@univ.edu
P162,Tracey  Francese,3,Mobile Development,5.96,8.47,8.79,tracey..francese@univ.edu
P163,Tracey  Francese,4,Mobile Development,6.89,6.53,8.37,tracey..francese@univ.edu
P164,Candice  White,14,Mobile Development,6.33,5.34,7.46,candice..white@univ.edu
P165,Candice  White,8,Mobile Development,8.09,10.0,6.74,candice..white@univ.edu
P166,Candice  White,6,AI/ML,7.01,9.41,7.13,candice..white@univ.edu
P167,Candice  White,13,Mobile Development,5.62,10.0,10.0,candice..white@univ.edu
P168,Candice  White,19,AI/ML,6.9,8.67,9.67,candice..white@univ.edu
P169,Candice  White,8,AI/ML,8.18,10.0,7.28,candice..white@univ.edu
P170,Candice  White,7,Data Science,5.55,5.32,7.97,candice..white@univ.edu
P171,Candice  White,4,Web Development,6.67,6.0,4.47,candice..white@univ.edu
P172,Candice  White,8,AI/ML,6.52,7.05,7.09,candice..white@univ.edu
P173,Candice  White,13,Cybersecurity,7.25,8.2,8.46,candice..white@univ.edu
P174,Candice  White,18,AI/ML,6.75,6.98,7.15,candice..white@univ.edu
P175,Candice  White,18,Cybersecurity,7.44,9.53,7.64,candice..white@univ.edu
P176,Candice  White,3,Data Science,6.14,9.4,7.57,candice..white@univ.edu
P177,Candice  White,11,Cybersecurity,6.79,9.45,8.59,candice..white@univ.edu
P178,Candice  White,8,Data Science,6.75,9.02,5.44,candice..white@univ.edu
P179,Candice  White,18,Data Science,9.15,8.46,6.58,candice..white@univ.edu
P180,Candice  White,5,Data Science,7.38,10.0,8.02,candice..white@univ.edu
P181,Candice  White,6,Cybersecurity,8.01,10.0,6.56,candice..white@univ.edu
P182,Candice  White,5,Cybersecurity,9.21,7.64,8.97,candice..white@univ.edu
P183,Candice  White,9,Data Science,7.3,6.69,7.23,candice..white@univ.edu
P184,Pat  Ledbetter,11,Data Science,6.72,9.82,5.36,pat..ledbetter@univ.edu
P185,Pat  Ledbetter,3,Web Development,5.82,10.0,6.97,pat..ledbetter@univ.edu
P186,Pat  Ledbetter,10,Data Science,5.52,10.0,9.15,pat..ledbetter@univ.edu
P187,Pat  Ledbetter,9,Mobile Development,4.41,8.95,5.62,pat..ledbetter@univ.edu
P188,Pat  Ledbetter,20,Web Development,8.06,7.74,7.83,pat..ledbetter@univ.edu
P189,Pat  Ledbetter,10,Web Development,7.55,6.3,7.98,pat..ledbetter@univ.edu
P190,Pat  Ledbetter,3,Web Development,6.72,7.89,7.3,pat..ledbetter@univ.edu
P191,Pat  Ledbetter,13,Mobile Development,6.69,6.63,7.07,pat..ledbetter@univ.edu
P192,Pat  Ledbetter,20,Web Development,5.8,6.38,7.4,pat..ledbetter@univ.edu
P193,Pat  Ledbetter,12,Web Development,7.59,9.44,7.29,pat..ledbetter@univ.edu
P194,Pat  Ledbetter,5,Cybersecurity,6.28,7.29,8.4,pat..ledbetter@univ.edu
P195,Pat  Ledbetter,9,Cybersecurity,6.68,7.97,7.59,pat..ledbetter@univ.edu
P196,Pat  Ledbetter,18,Data Science,5.67,10.0,9.19,pat..ledbetter@univ.edu
P197,Pat  Ledbetter,18,Data Science,5.88,4.87,7.7,pat..ledbetter@univ.edu
P198,Pat  Ledbetter,19,AI/ML,8.12,6.57,7.68,pat..ledbetter@univ.edu
P199,Pat  Ledbetter,4,Mobile Development,8.34,9.21,8.54,pat..ledbetter@univ.edu
P200,Pat  Ledbetter,3,Cybersecurity,5.52,7.26,5.76,pat..ledbetter@univ.edu
P201,Pat  Ledbetter,18,Data Science,7.71,7.22,7.32,pat..ledbetter@univ.edu
P202,Pat  Ledbetter,14,Mobile Development,6.11,8.49,7.08,pat..ledbetter@univ.edu
P203,Pat  Ledbetter,7,Web Development,6.4,7.76,6.57,pat..ledbetter@univ.edu
P204,Juanita  Campos,7,Mobile Development,8.44,5.04,7.21,juanita..campos@univ.edu
P205,Juanita  Campos,11,Cybersecurity,6.66,7.07,9.82,juanita..campos@univ.edu
P206,Juanita  Campos,11,AI/ML,6.65,5.74,6.45,juanita..campos@univ.edu
P207,Juanita  Campos,5,Cybersecurity,5.03,9.3,6.98,juanita..campos@univ.edu
P208,Juanita  Campos,18,Data Science,6.59,5.92,10.0,juanita..campos@univ.edu
P209,Juanita  Campos,18,Data Science,6.25,5.92,7.78,juanita..campos@univ.edu
P210,Juanita  Campos,5,Mobile Development,7.55,6.11,9.03,juanita..campos@univ.edu
P211,Juanita  Campos,3,Cybersecurity,6.35,9.26,8.57,juanita..campos@univ.edu
P212,Juanita  Campos,13,Data Science,8.47,7.04,7.34,juanita..campos@univ.edu
P213,Juanita  Campos,19,Web Development,7.48,10.0,8.68,juanita..campos@univ.edu
P214,Juanita  Campos,10,Web Development,7.24,9.32,8.42,juanita..campos@univ.edu
P215,Juanita  Campos,6,AI/ML,7.84,9.67,9.5,juanita..campos@univ.edu
P216,Juanita  Campos,8,Mobile Development,7.24,7.48,7.26,juanita..campos@univ.edu
P217,Juanita  Campos,10,Data Science,7.87,6.16,6.5,juanita..campos@univ.edu
P218,Juanita  Campos,5,AI/ML,6.82,7.52,7.97,juanita..campos@univ.edu
P219,Juanita  Campos,18,Web Development,6.89,3.64,7.67,juanita..campos@univ.edu
P220,Juanita  Campos,5,AI/ML,6.03,8.84,6.57,juanita..campos@univ.edu
P221,Juanita  Campos,20,AI/ML,6.14,8.4,8.35,juanita..campos@univ.edu
P222,Juanita  Campos,16,Data Science,8.56,7.0,8.13,juanita..campos@univ.edu
P223,Juanita  Campos,20,Data Science,7.56,7.23,7.15,juanita..campos@univ.edu
P224,Ann  Lewald,4,Data Science,5.15,9.67,8.23,ann..lewald@univ.edu
P225,Ann  Lewald,5,Mobile Development,8.27,8.73,7.75,ann..lewald@univ.edu
P226,Ann  Lewald,18,AI/ML,7.15,10.0,7.09,ann..lewald@univ.edu
P227,Ann  Lewald,11,AI/ML,6.05,6.69,8.26,ann..lewald@univ.edu
P228,Ann  Lewald,6,Mobile Development,9.14,6.09,7.38,ann..lewald@univ.edu
P229,Ann  Lewald,3,Web Development,8.51,8.55,8.16,ann..lewald@univ.edu
P230,Ann  Lewald,6,Cybersecurity,7.91,9.19,9.1,ann..lewald@univ.edu
P231,Ann  Lewald,3,Web Development,7.19,8.45,6.57,ann..lewald@univ.edu
P232,Ann  Lewald,16,Mobile Development,7.41,7.35,8.6,ann..lewald@univ.edu
P233,Ann  Lewald,18,AI/ML,4.4,10.0,7.49,ann..lewald@univ.edu
P234,Ann  Lewald,10,AI/ML,7.9,10.0,7.41,ann..lewald@univ.edu
P235,Ann  Lewald,9,Data Science,7.22,6.89,8.74,ann..lewald@univ.edu
P236,Ann  Lewald,5,Data Science,7.29,7.1,8.01,ann..lewald@univ.edu
P237,Ann  Lewald,19,AI/ML,7.27,6.86,6.5,ann..lewald@univ.edu
P238,Ann  Lewald,3,AI/ML,6.44,10.0,8.03,ann..lewald@univ.edu
P239,Ann  Lewald,18,Data Science,5.86,9.36,7.8,ann..lewald@univ.edu
P240,Ann  Lewald,14,Data Science,7.11,9.11,7.99,ann..lewald@univ.edu
P241,Ann  Lewald,16,Web Development,5.4,7.76,7.38,ann..lewald@univ.edu
P242,Ann  Lewald,8,AI/ML,7.34,9.32,7.21,ann..lewald@univ.edu
P243,Ann  Lewald,8,AI/ML,5.77,8.55,7.21,ann..lewald@univ.edu
P244,Hon  Linda,15,Mobile Development,8.16,7.74,5.04,hon..linda@univ.edu
P245,Hon  Linda,10,Web Development,5.29,8.57,8.45,hon..linda@univ.edu
P246,Hon  Linda,4,Cybersecurity,6.95,10.0,6.86,hon..linda@univ.edu
P247,Hon  Linda,3,Cybersecurity,7.09,9.2,7.13,hon..linda@univ.edu
P248,Ruben  Mouhiddan,17,Cybersecurity,8.46,6.54,7.48,ruben..mouhiddan@univ.edu
P249,Ruben  Mouhiddan,3,Data Science,7.31,6.73,9.22,ruben..mouhiddan@univ.edu
P250,Ruben  Mouhiddan,7,Cybersecurity,6.02,9.14,5.45,ruben..mouhiddan@univ.edu
P251,Ruben  Mouhiddan,18,Mobile Development,5.93,7.0,6.66,ruben..mouhiddan@univ.edu
P252,Ruben  Mouhiddan,6,Data Science,8.74,8.55,7.83,ruben..mouhiddan@univ.edu
P253,Ruben  Mouhiddan,5,Data Science,6.96,7.09,4.13,ruben..mouhiddan@univ.edu
P254,Ruben  Mouhiddan,19,Cybersecurity,6.77,9.23,7.37,ruben..mouhiddan@univ.edu
P255,Ruben  Mouhiddan,19,Data Science,6.17,6.42,6.98,ruben..mouhiddan@univ.edu
P256,Margaret  Mitchell,14,Web Development,5.54,8.46,6.98,margaret..mitchell@univ.edu
P257,Margaret  Mitchell,16,Web Development,9.28,7.34,7.41,margaret..mitchell@univ.edu
P258,Margaret  Mitchell,8,Cybersecurity,7.08,7.92,7.97,margaret..mitchell@univ.edu
P259,Margaret  Mitchell,5,Mobile Development,5.68,8.19,6.08,margaret..mitchell@univ.edu
P260,Margaret  Mitchell,11,Data Science,7.89,9.69,8.18,margaret..mitchell@univ.edu
P261,Margaret  Mitchell,7,AI/ML,7.72,7.88,7.14,margaret..mitchell@univ.edu
P262,Diane  Reid,19,Cybersecurity,5.5,9.48,9.17,diane..reid@univ.edu
P263,Diane  Reid,16,Data Science,6.3,6.67,8.61,diane..reid@univ.edu
P264,Diane  Reid,5,Cybersecurity,7.55,5.53,7.26,diane..reid@univ.edu
P265,Diane  Reid,3,Cybersecurity,7.87,8.69,8.57,diane..reid@univ.edu
P266,Diane  Reid,3,Mobile Development,6.09,7.54,6.01,diane..reid@univ.edu
P267,Diane  Reid,5,AI/ML,4.76,6.43,6.13,diane..reid@univ.edu
P268,Diane  Reid,20,Data Science,7.3,6.45,9.18,diane..reid@univ.edu
P269,Diane  Reid,12,Cybersecurity,8.03,6.66,6.97,diane..reid@univ.edu
P270,Diane  Reid,5,Cybersecurity,6.93,8.47,8.65,diane..reid@univ.edu
P271,Diane  Reid,10,Data Science,6.63,7.46,7.11,diane..reid@univ.edu
P272,Diane  Reid,16,Cybersecurity,8.9,5.85,8.22,diane..reid@univ.edu
P273,Diane  Reid,20,Cybersecurity,4.59,7.14,6.95,diane..reid@univ.edu
P274,Diane  Reid,17,Cybersecurity,7.87,6.87,5.97,diane..reid@univ.edu
P275,Diane  Reid,4,Web Development,7.94,6.4,8.43,diane..reid@univ.edu
P276,Diane  Reid,12,Web Development,6.07,9.45,9.24,diane..reid@univ.edu
P277,Diane  Reid,4,AI/ML,4.22,7.86,5.65,diane..reid@univ.edu
P278,Diane  Reid,19,Mobile Development,7.91,10.0,7.7,diane..reid@univ.edu
P279,Diane  Reid,10,Data Science,7.39,9.14,7.31,diane..reid@univ.edu
P280,Diane  Reid,3,Mobile Development,8.71,9.22,8.56,diane..reid@univ.edu
P281,Diane  Reid,11,Mobile Development,6.32,8.23,8.12,diane..reid@univ.edu
P282,John  Cunningham,13,Web Development,7.21,10.0,7.83,john..cunningham@univ.edu
P283,John  Cunningham,18,AI/ML,4.99,9.87,5.91,john..cunningham@univ.edu
P284,John  Cunningham,9,Mobile Development,7.87,8.34,8.22,john..cunningham@univ.edu
P285,John  Cunningham,12,Mobile Development,5.16,3.87,7.23,john..cunningham@univ.edu
P286,John  Cunningham,5,Cybersecurity,6.96,4.95,6.61,john..cunningham@univ.edu
P287,John  Cunningham,20,Data Science,5.75,6.9,7.91,john..cunningham@univ.edu
P288,John  Cunningham,15,AI/ML,7.41,8.35,7.11,john..cunningham@univ.edu
P289,John  Cunningham,9,Data Science,6.77,5.86,8.85,john..cunningham@univ.edu
P290,John  Cunningham,6,Web Development,6.73,8.64,7.39,john..cunningham@univ.edu
P291,John  Cunningham,15,Mobile Development,6.93,8.16,8.44,john..cunningham@univ.edu
P292,John  Cunningham,3,Mobile Development,7.04,7.8,8.62,john..cunningham@univ.edu
P293,John  Cunningham,10,Data Science,8.69,8.09,8.01,john..cunningham@univ.edu
P294,John  Cunningham,16,Web Development,7.57,4.4,5.49,john..cunningham@univ.edu
P295,John  Cunningham,18,Cybersecurity,6.18,10.0,7.08,john..cunningham@univ.edu
P296,John  Cunningham,16,Cybersecurity,6.27,7.45,6.09,john..cunningham@univ.edu
P297,John  Cunningham,14,Mobile Development,8.22,8.26,5.89,john..cunningham@univ.edu
P298,John  Cunningham,17,Mobile Development,5.72,8.16,4.13,john..cunningham@univ.edu
P299,John  Cunningham,4,AI/ML,7.01,7.09,6.41,john..cunningham@univ.edu
P300,John  Cunningham,4,Data Science,4.97,8.15,7.39,john..cunningham@univ.edu
P301,John  Cunningham,19,Mobile Development,6.86,6.49,7.67,john..cunningham@univ.edu
P302,Wolfgang  Ziller,12,Web Development,5.68,7.86,7.75,wolfgang..ziller@univ.edu
P303,Wolfgang  Ziller,8,Data Science,6.22,8.11,8.22,wolfgang..ziller@univ.edu
